2,01573E+002
6,72019E+001
3,36109E+001
2,01756E+001
1,34588E+001
9,62119E+000
7,22312E+000
5,62473E+000
4,50610E+000
3,69271E+000
3,08278E+000
2,61366E+000
2,24507E+000
1,95018E+000
1,71050E+000
1,51302E+000
1,34832E+000
1,20946E+000
1,09123E+000
9,89670E-001
9,01718E-001
8,24977E-001
7,57552E-001
6,97932E-001
6,44905E-001
5,97490E-001
5,54896E-001
5,16475E-001
4,81704E-001
4,50151E-001
4,21460E-001
3,95333E-001
3,71511E-001
3,49764E-001
3,29885E-001
3,11679E-001
2,94967E-001
2,79589E-001
2,65400E-001
2,52277E-001
2,40113E-001
2,28813E-001
2,18295E-001
2,08489E-001
1,99330E-001
1,90762E-001
1,82736E-001
1,75206E-001
1,68132E-001
1,61479E-001
1,55213E-001
1,49304E-001
1,43728E-001
1,38458E-001
1,33472E-001
1,28752E-001
1,24277E-001
1,20032E-001
1,16001E-001
1,12170E-001
1,08525E-001
1,05056E-001
1,01750E-001
9,85979E-002
9,55901E-002
9,27180E-002
8,99735E-002
8,73492E-002
8,48381E-002
8,24338E-002
8,01304E-002
7,79222E-002
7,58041E-002
7,37713E-002
7,18192E-002
6,99436E-002
6,81407E-002
6,64065E-002
6,47379E-002
6,31313E-002
6,15839E-002
6,00927E-002
5,86551E-002
5,72685E-002
5,59305E-002
5,46389E-002
5,33916E-002
5,21865E-002
5,10218E-002
4,98957E-002
4,88065E-002
4,77526E-002
4,67325E-002
4,57448E-002
4,47881E-002
4,38611E-002
4,29627E-002
4,20915E-002
4,12467E-002
